,GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
0,484067995,20151112,201511,2015,2015.8548,BUS,CORPORATION,,,,,,BUS,,,,,,,,,,,,,1,180,180,18,4,-9.0,10,1,10,-6.64556962025317,1,Belarus,BO,BO,,53.0,28.0,BO,0,,,,,,,,1,Belarus,BO,BO,,53.0,28.0,BO,20151112004500,http://www.sabah.com.tr/ekonomi/2015/11/12/sanal-korsan-sanal-fidye-istedi-20-bitcoin
1,534126853,20160425,201604,2016,2016.3151,GOV,CHIEF EXECUTIVE,,,,,,GOV,,,,,,,,,,,,,1,10,10,1,1,0.0,3,1,3,0.44444444444445,1,Luxembourg,LU,LU,,49.75,6.1667,LU,0,,,,,,,,1,Luxembourg,LU,LU,,49.75,6.1667,LU,20160425213000,http://sputniknews.com/europe/20160426/1038600911/european-union-bitcoin.html
2,429485215,20150429,201504,2015,2015.326,BUS,BANK,,,,,,BUS,,,,,,,,,,,,,1,71,71,7,2,7.4,2,1,2,1.51843817787418,2,"New Jersey, United States",US,USNJ,,40.314,-74.5089,NJ,0,,,,,,,,2,"New Jersey, United States",US,USNJ,,40.314,-74.5089,NJ,20150429193000,http://www.financialbuzz.com/bitcoin-exchange-itbit-seeks-new-york-banking-license-260064
3,508658058,20160204,201602,2016,2016.0932,GOV,GOVERNMENT,,,,,,GOV,,,,,,,,,,,,,1,70,70,7,2,7.0,10,1,10,-4.60122699386503,1,Somalia,SO,SO,,10.0,49.0,SO,0,,,,,,,,1,Somalia,SO,SO,,10.0,49.0,SO,20160204180000,http://noticias.lainformacion.com/economia-negocios-y-finanzas/cultivos-agricolas/la-peor-sequia-de-etiopia-en-30-anos-golpea-a-10-millones-de-personas_64QgDEsBtcSeKkqrYglmw/
4,491912679,20151207,201512,2015,2015.9233,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,60,60,6,2,6.0,10,1,10,0.0,1,Turkmenistan,TX,TX,,40.0,60.0,TX,0,,,,,,,,1,Turkmenistan,TX,TX,,40.0,60.0,TX,20151207124500,http://azertag.az/xeber/Noyabrda_BTC_kemeri_ile_23_milyon_tona_yaxin_Azerbaycan_nefti_neql_edilib-908934
5,521617949,20160316,201603,2016,2016.2082,BUS,BANK,,,,,,BUS,,,,,,,,,,,,,1,10,10,1,1,0.0,5,1,5,-5.80046403712297,4,"Mizuho, Hokkaido, Japan",JA,JA12,34319,43.8886,143.637,-237002,0,,,,,,,,4,"Mizuho, Hokkaido, Japan",JA,JA12,34319,43.8886,143.637,-237002,20160316150000,http://www.pymnts.com/news/bitcoin-tracker/2016/mt-gox-bitcoin-bank-case-to-be-heard-in-us-court/
6,456149459,20150808,201508,2015,2015.5973,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,60,60,6,2,6.0,4,1,4,2.68317853457173,3,"Wenatchee, Washington, United States",US,USWA,WA007,47.4235,-120.31,1527897,0,,,,,,,,3,"Wenatchee, Washington, United States",US,USWA,WA007,47.4235,-120.31,1527897,20150808111500,http://www.coindesk.com/press-releases/bitcoin-solutions-provider-hashingspace-secures-business-incentives-advisory-services-from-duff-phelps/
7,413105607,20150228,201502,2015,2015.1589,AUS,MELBOURNE,AUS,,,,,,,,,,,,,,,,,,1,141,141,14,3,-6.5,6,1,6,-2.03252032520326,4,"Melbourne, Victoria, Australia",AS,AS07,5430,-37.8167,144.967,-1586844,0,,,,,,,,4,"Melbourne, Victoria, Australia",AS,AS07,5430,-37.8167,144.967,-1586844,20150228101500,https://au.gwn7.yahoo.com/w1/news/a/-/local/26466504/adam-tepper-bitcoin-trader-and-ceo-of-independent-reserve-killed-in-motorcycle-accident-in-phuket/
8,492424665,20151209,201512,2015,2015.9288,JUD,LAWYER,,,,,,JUD,,,,,,,,,,,,,1,20,20,2,1,3.0,10,1,10,-7.43982494529541,4,"Lagos, Lagos, Nigeria",NI,NI05,191416,6.45306,3.39583,-2017355,0,,,,,,,,4,"Lagos, Lagos, Nigeria",NI,NI05,191416,6.45306,3.39583,-2017355,20151209003000,http://www.punchng.com/court-decides-stanbic-ibtc-case-against-frc-dec-14/
9,510815689,20160211,201602,2016,2016.1123,BUS,COMPANY,,,,,,BUS,,,,,,,,,,,,,0,120,120,12,3,-4.0,5,1,5,3.07692307692307,4,"Cambridge, Cambridgeshire, United Kingdom",UK,UKC3,40098,52.2,0.116667,-2591658,0,,,,,,,,4,"Cambridge, Cambridgeshire, United Kingdom",UK,UKC3,40098,52.2,0.116667,-2591658,20160211180000,http://bitcoinist.net/cme-funds-cambridge-center-of-alternative-finance-research/
